,0
320,538.5949219748875
321,532.5219968585709
322,533.2036161682548
323,533.7638719348812
324,549.4464830668526
325,532.7758542783096
326,535.4371785325256
327,539.5649828591824
328,548.0010381033927
329,533.1158590564789
330,531.9522120353015
331,535.731597028155
332,535.8153054387859
333,536.0562954327063
334,532.4365952988534
335,533.1858410252036
336,533.240985567753
337,531.8739012521474
338,542.5788214984673
339,533.5300715480927
340,540.9682161652871
341,534.5660596740972
342,531.9997186788005
343,533.3898936636368
344,532.1470026577944
345,531.9065554529948
346,535.079189257649
347,539.0281710445691
348,543.9405796991374
349,537.3045359154443
350,541.2067804411417
351,554.5980970322786
352,532.0935379953249
353,532.7177698907738
354,536.4517084730958
355,537.9743643436071
356,531.894375908702
357,536.9807219080762
358,544.8934156454194
359,533.8556257606625
360,532.0156798887666
361,532.2390551062111
362,532.1323374227645
363,538.7821364072736
364,532.4136472719706
365,534.7293011513162
366,532.2944126241965
367,533.2875260736182
368,532.3598536678244
369,531.8498701447542
370,544.291733311125
371,531.9651161326583
372,534.1892595835805
373,532.0381238599927
374,531.8927031893006
375,534.3410742120641
376,532.0784855838452
377,535.9594878365784
378,531.9392163306206
379,544.9067734211216
380,546.1910347457875
381,535.2217563420947
382,531.9217375017688
383,531.9418307089086
384,534.452960342415
385,532.1849248955622
386,555.6966887860282
387,535.6110342142464
388,531.8485439618393
389,533.9402881453697
390,533.0293496879214
391,532.0339417103289
392,534.5808227791083
393,537.3393027433267
394,534.248087469137
395,533.3109515554612
396,535.3273044036815
397,534.2194129579033
398,538.065822007034
399,555.654985488143
400,551.4152990352688
401,551.0621975508179
402,544.5891158574719
403,532.9558155199185
404,533.209826881592
405,533.4615676545304
406,538.4013870230475
407,547.4745940617906
408,539.5290639731442
409,532.3611012551024
410,532.6542365611928
411,549.1722013581016
412,566.8875310334373
413,545.3379442582292
414,570.0454250817686
415,561.0979369271363
416,536.2518045684891
417,532.2069971284325
418,532.0548831632993
419,531.8751757333611
420,536.2013141150447
421,534.6789170873591
422,532.0612813933411
423,544.3666352489062
424,560.3110860772694
425,536.8523801846873
426,547.2486300083872
427,535.8029665657042
428,532.3512886938779
429,531.8587960821382
430,532.0733032931902
431,531.964252169669
432,532.8965977738278
433,532.0110655300665
434,531.9515942607854
435,537.8176740424758
436,534.8045416613039
437,538.0741603652802
438,552.5503055025943
439,532.209243224003
440,531.9727527682929
441,543.0092311085012
442,548.3495894888036
443,545.7702735350525
444,532.1607464300411
445,536.6010177060502
446,538.6354174000784
447,531.8480433361634
448,532.8222218182452
449,533.1468374947583
450,532.4231735627509
451,533.9491625704896
452,532.028989649264
453,532.7500356930439
454,532.582188644012
455,536.1565125112381
456,532.4380100994726
457,562.2808077526926
458,537.3627939890542
459,534.0001118495027
460,537.5108748926527
461,533.7638747511838
462,532.5431844320955
463,531.8558003816572
464,533.9746707113125
465,537.1120768653007
466,534.6295551493516
467,533.9037465917052
468,532.241562396589
469,532.1915985572954
470,538.0138389961746
471,536.9674332795634
472,531.8511479717291
473,531.9098446145664
474,545.8874570128991
475,567.853411459662
476,583.8574064952497
477,537.9661727530516
478,533.6266499229673
479,536.351829474472
480,531.9362386352336
481,544.4963428791555
482,532.836529518876
